Final Rank,QNN_Rank,Gene,QNN_prior,structural_score,final_priority
1,13,PGM5,0.764706,0.852389,0.451766
2,29,TBX3,0.45098,0.85434,0.449041
3,39,CNGB3,0.254902,0.859055,0.448083
4,2,KIF5A,0.980392,0.762228,0.411908
5,12,ZEB2,0.784314,0.768598,0.407357
6,16,TBX5,0.705882,0.760242,0.40194
7,27,CASS4,0.490196,0.732222,0.385222
8,51,TBX4,0.019608,0.820455,0.347141
9,45,RP1,0.137255,0.557537,0.161765
10,40,GDF10,0.235294,0.355634,0.065919
11,11,PAX9,0.803922,0.346601,0.063754
12,43,PLCL1,0.176471,0.323521,0.05451
13,8,LTBP4,0.862745,0.30691,0.05013
14,32,ATP10B,0.392157,0.302384,0.048013
15,6,CIT,0.901961,0.289244,0.044617
16,23,ITIH5,0.568627,0.285447,0.04294
17,1,MTMR7,1,0.269154,0.039236
18,5,ADAMTS16,0.921569,0.270906,0.039183
19,9,MMRN1,0.843137,0.258581,0.035565
20,44,SYNPO2,0.156863,0.256135,0.034161
21,38,STXBP5L,0.27451,0.182753,0.017434
22,14,SOX5,0.745098,0.00495,1.30E-05
23,15,STXBP6,0.72549,0.00495,1.30E-05
24,17,PDZD2,0.686275,0.00495,1.30E-05
25,25,VWA3B,0.529412,0.00495,1.30E-05
26,28,DENND2A,0.470588,0.00495,1.30E-05
27,35,MEOX2,0.333333,0.00495,1.30E-05
28,37,RGS22,0.294118,0.00495,1.30E-05
29,41,C1orf162,0.215686,0.00495,1.30E-05
30,50,CLEC14A,0.039216,0.00495,1.30E-05
31,21,TRIM58,0.607843,0,0
32,18,MYBPC1,0.666667,0,0
33,30,MYH11,0.431373,0,0
34,42,SALL3,0.196078,0,0
